Policy_ID,Customer_Age,Gender,Policy_Type,Annual_Income,Premium_Amount,Insured_Amount,Property_Age,Insured_Date,Claim_ID,Claim_Date,Claim_Amount,Fraudulent_Claim,Claim_History,Risk_Score
9d808c19-ee94-401a-94e9-408d51925105,56,Female,Property,69715.33,2264.46,26177.01,10,2022-03-17,766c345b-0e04-497d-aad0-8ca1f0e6a69f,2024-11-26,3994.85,0,5,High
9d808c19-ee94-401a-94e9-408d51925105,56,Female,Property,69715.33,2264.46,26177.01,10,2022-03-17,2ee414a9-e9e7-4b23-b596-52911efba608,2023-07-19,67.48,0,5,High
9d808c19-ee94-401a-94e9-408d51925105,56,Female,Property,69715.33,2264.46,26177.01,10,2022-03-17,be204652-b943-4f0d-82f1-b41ae00b83ac,2022-12-24,11367.45,0,5,High
9d808c19-ee94-401a-94e9-408d51925105,56,Female,Property,69715.33,2264.46,26177.01,10,2022-03-17,953d2cf1-8f1b-402f-942c-93aad805d9d0,2023-08-03,5796.15,0,5,High
9d808c19-ee94-401a-94e9-408d51925105,56,Female,Property,69715.33,2264.46,26177.01,10,2022-03-17,d0f65e7c-ba59-418a-bdcf-77a539ae082f,2024-03-15,774.43,0,5,High
aa5fc622-d6bc-45a3-8d3e-597926ae9c46,79,Male,Health,82845.45,2980.27,45128.34,0,2024-10-17,99abb8cd-1010-4833-b028-4733071510b3,2026-07-09,20173.82,1,3,Medium
aa5fc622-d6bc-45a3-8d3e-597926ae9c46,79,Male,Health,82845.45,2980.27,45128.34,0,2024-10-17,9954659c-e179-44bf-83c5-29af50af6d46,2025-07-15,10591.91,0,3,Medium
aa5fc622-d6bc-45a3-8d3e-597926ae9c46,79,Male,Health,82845.45,2980.27,45128.34,0,2024-10-17,70c30693-a1bf-4197-a37c-780efde59899,2026-06-03,236.23,0,3,Medium
de58e05b-6f3e-4eb4-acb8-7e2cd0973eec,45,Male,Property,76953.42,2606.35,36255.89,17,2021-02-18,NoClaim,,0.0,0,0,Low
3278383c-2354-4572-ae37-313f4d7d339e,19,Male,Health,65596.78,4180.93,49537.94,0,2024-07-18,NoClaim,,0.0,0,0,Low
95cfc832-ffab-491c-a332-b3b47e607910,43,Male,Health,63279.57,5932.46,64574.34,0,2022-09-28,421d66bc-2d31-4ad9-a3d1-c6d3edda2d4b,2023-09-30,31284.25,0,1,Medium
e776bda4-6447-437e-a022-9e49e001e1d9,41,Male,Life,73226.42,5020.6,64062.86,0,2021-02-24,NoClaim,,0.0,0,0,Low
480368dc-4c26-455c-af9a-b04f92d55a60,62,Male,Property,31864.85,1385.45,14049.6,18,2022-03-29,NoClaim,,0.0,0,0,Low
3c3577c2-1b0e-4ab1-a08d-f5a1eaac9167,52,Female,Property,39498.27,1023.94,13909.82,8,2021-06-11,NoClaim,,0.0,0,0,Low
da190199-7f3a-4fad-adea-ebad0ff5b0e8,26,Female,Health,56313.78,4139.47,68960.43,0,2022-09-12,82833071-5dbd-43a2-9733-42750933b8b3,2025-08-05,3097.97,0,3,Medium
da190199-7f3a-4fad-adea-ebad0ff5b0e8,26,Female,Health,56313.78,4139.47,68960.43,0,2022-09-12,b3707060-cd8e-4bba-ac59-558e2a7f5b38,2024-11-16,22879.05,0,3,Medium
